IP地址,数据中心,地区,城市,网络延迟
104.16.122.131,LAX,北美洲,洛杉矶,169 ms
104.16.249.73,SJC,北美洲,圣何塞,169 ms
104.18.193.50,SJC,北美洲,圣何塞,169 ms
1.0.0.59,SJC,北美洲,圣何塞,169 ms
104.16.126.120,SLC,北美洲,盐湖城,169 ms
172.67.218.11,AMS,欧洲,阿姆斯特丹,169 ms
104.21.97.227,AMS,欧洲,阿姆斯特丹,169 ms
104.16.239.222,SJC,北美洲,圣何塞,170 ms
104.19.248.252,LAX,北美洲,洛杉矶,170 ms
1.1.1.130,SJC,北美洲,圣何塞,170 ms
104.18.22.28,LAX,北美洲,洛杉矶,170 ms
104.21.125.221,AMS,欧洲,阿姆斯特丹,170 ms
1.0.0.115,SJC,北美洲,圣何塞,170 ms
104.21.127.6,AMS,欧洲,阿姆斯特丹,170 ms
104.16.216.182,SJC,北美洲,圣何塞,171 ms
104.21.203.133,AMS,欧洲,阿姆斯特丹,171 ms
104.18.114.252,LAX,北美洲,洛杉矶,171 ms
104.18.154.6,SJC,北美洲,圣何塞,171 ms
104.17.166.56,SJC,北美洲,圣何塞,171 ms
1.1.1.152,SJC,北美洲,圣何塞,171 ms
104.18.124.226,SLC,北美洲,盐湖城,171 ms
104.16.230.57,SJC,北美洲,圣何塞,171 ms
104.18.23.147,LAX,北美洲,洛杉矶,171 ms
1.1.1.11,SJC,北美洲,圣何塞,171 ms
1.1.1.69,SJC,北美洲,圣何塞,172 ms
104.16.34.204,SJC,北美洲,圣何塞,172 ms
1.1.1.124,SJC,北美洲,圣何塞,172 ms
104.18.99.90,SJC,北美洲,圣何塞,172 ms
104.18.19.181,LAX,北美洲,洛杉矶,172 ms
1.1.1.57,SJC,北美洲,圣何塞,172 ms
104.19.217.18,SJC,北美洲,圣何塞,172 ms
104.16.117.93,SJC,北美洲,圣何塞,172 ms
1.1.1.181,SJC,北美洲,圣何塞,172 ms
1.0.0.47,SJC,北美洲,圣何塞,172 ms
1.0.0.102,SJC,北美洲,圣何塞,172 ms
104.19.118.227,SJC,北美洲,圣何塞,173 ms
154.197.108.234,SJC,北美洲,圣何塞,173 ms
104.18.98.87,SJC,北美洲,圣何塞,173 ms
104.18.161.154,SJC,北美洲,圣何塞,173 ms
104.18.126.179,LAX,北美洲,洛杉矶,173 ms
1.1.1.45,SJC,北美洲,圣何塞,173 ms
104.18.123.122,LAX,北美洲,洛杉矶,173 ms
104.21.204.167,AMS,欧洲,阿姆斯特丹,173 ms
104.16.144.102,SJC,北美洲,圣何塞,173 ms
104.18.96.210,SJC,北美洲,圣何塞,174 ms
104.19.246.135,SLC,北美洲,盐湖城,174 ms
104.17.3.39,SJC,北美洲,圣何塞,174 ms
1.0.0.78,SJC,北美洲,圣何塞,174 ms
104.17.31.63,SJC,北美洲,圣何塞,174 ms
104.19.102.163,SJC,北美洲,圣何塞,174 ms
104.18.140.173,SJC,北美洲,圣何塞,174 ms
104.19.249.153,LAX,北美洲,洛杉矶,174 ms
104.17.124.35,SJC,北美洲,圣何塞,174 ms
104.16.165.136,SJC,北美洲,圣何塞,174 ms
104.18.30.191,SLC,北美洲,盐湖城,174 ms
104.21.82.178,AMS,欧洲,阿姆斯特丹,175 ms
104.17.177.172,SJC,北美洲,圣何塞,175 ms
104.19.245.143,LAX,北美洲,洛杉矶,175 ms
1.0.0.206,SJC,北美洲,圣何塞,175 ms
104.18.129.21,SJC,北美洲,圣何塞,175 ms
1.1.1.181,SJC,北美洲,圣何塞,175 ms
104.17.53.69,SJC,北美洲,圣何塞,175 ms
1.0.0.83,SJC,北美洲,圣何塞,175 ms
104.16.57.216,SJC,北美洲,圣何塞,175 ms
104.19.244.22,LAX,北美洲,洛杉矶,175 ms
104.18.10.103,SJC,北美洲,圣何塞,175 ms
104.21.192.64,AMS,欧洲,阿姆斯特丹,175 ms
104.21.126.149,AMS,欧洲,阿姆斯特丹,175 ms
104.16.133.5,SJC,北美洲,圣何塞,176 ms
1.0.0.52,SJC,北美洲,圣何塞,176 ms
104.16.176.167,SJC,北美洲,圣何塞,176 ms
104.21.197.60,AMS,欧洲,阿姆斯特丹,176 ms
104.19.243.88,LAX,北美洲,洛杉矶,176 ms
104.19.242.55,SLC,北美洲,盐湖城,176 ms
104.17.83.224,SJC,北美洲,圣何塞,176 ms
104.18.31.230,SLC,北美洲,盐湖城,176 ms
1.0.0.173,SJC,北美洲,圣何塞,176 ms
104.17.54.196,SJC,北美洲,圣何塞,176 ms
104.21.224.136,DEN,北美洲,丹佛,177 ms
104.18.188.118,SJC,北美洲,圣何塞,177 ms
216.205.52.177,SJC,北美洲,圣何塞,177 ms
104.18.134.249,SJC,北美洲,圣何塞,177 ms
104.19.128.15,LAX,北美洲,洛杉矶,177 ms
104.19.7.75,SJC,北美洲,圣何塞,177 ms
104.21.66.220,AMS,欧洲,阿姆斯特丹,177 ms
104.21.236.10,DEN,北美洲,丹佛,177 ms
1.1.1.99,SJC,北美洲,圣何塞,178 ms
104.21.237.128,PDX,北美洲,波特兰,178 ms
104.19.136.58,LAX,北美洲,洛杉矶,178 ms
104.21.55.194,AMS,欧洲,阿姆斯特丹,178 ms
104.17.10.61,SJC,北美洲,圣何塞,178 ms
104.18.112.218,SLC,北美洲,盐湖城,178 ms
1.1.1.221,SJC,北美洲,圣何塞,178 ms
104.16.110.18,SJC,北美洲,圣何塞,178 ms
104.16.113.31,LAX,北美洲,洛杉矶,178 ms
104.21.230.67,DEN,北美洲,丹佛,178 ms
104.21.229.48,PDX,北美洲,波特兰,178 ms
1.1.1.35,SJC,北美洲,圣何塞,178 ms
104.16.147.59,SJC,北美洲,圣何塞,178 ms
104.17.91.165,SJC,北美洲,圣何塞,178 ms
104.16.0.147,SJC,北美洲,圣何塞,178 ms
104.19.141.34,LAX,北美洲,洛杉矶,179 ms
1.0.0.79,SJC,北美洲,圣何塞,179 ms
104.19.212.8,SJC,北美洲,圣何塞,179 ms
104.21.51.14,AMS,欧洲,阿姆斯特丹,179 ms
104.17.238.233,SJC,北美洲,圣何塞,179 ms
104.18.214.114,SJC,北美洲,圣何塞,179 ms
104.21.195.160,AMS,欧洲,阿姆斯特丹,179 ms
104.18.254.54,SJC,北美洲,圣何塞,179 ms
104.21.73.110,AMS,欧洲,阿姆斯特丹,179 ms
104.17.118.37,SJC,北美洲,圣何塞,180 ms
104.21.33.253,AMS,欧洲,阿姆斯特丹,180 ms
104.21.200.254,AMS,欧洲,阿姆斯特丹,180 ms
104.19.218.191,SJC,北美洲,圣何塞,180 ms
104.17.41.218,SJC,北美洲,圣何塞,180 ms
104.16.123.155,SJC,北美洲,圣何塞,180 ms
1.0.0.207,SJC,北美洲,圣何塞,180 ms
1.0.0.26,SJC,北美洲,圣何塞,180 ms
1.0.0.198,SJC,北美洲,圣何塞,180 ms
104.16.115.53,LAX,北美洲,洛杉矶,181 ms
1.0.0.3,SJC,北美洲,圣何塞,181 ms
104.18.110.50,SJC,北美洲,圣何塞,181 ms
104.21.239.202,DEN,北美洲,丹佛,181 ms
104.17.32.50,SJC,北美洲,圣何塞,181 ms
1.1.1.122,SJC,北美洲,圣何塞,181 ms
104.19.222.55,SJC,北美洲,圣何塞,181 ms
104.16.10.222,SJC,北美洲,圣何塞,181 ms
104.19.133.21,SLC,北美洲,盐湖城,181 ms
104.19.247.119,SLC,北美洲,盐湖城,181 ms
104.17.17.46,SJC,北美洲,圣何塞,181 ms
1.1.1.236,SJC,北美洲,圣何塞,181 ms
1.1.1.74,SJC,北美洲,圣何塞,182 ms
1.0.0.143,SJC,北美洲,圣何塞,182 ms
104.19.69.126,SJC,北美洲,圣何塞,182 ms
104.21.123.26,AMS,欧洲,阿姆斯特丹,182 ms
104.19.204.215,SJC,北美洲,圣何塞,182 ms
1.0.0.146,SJC,北美洲,圣何塞,182 ms
104.21.94.75,AMS,欧洲,阿姆斯特丹,182 ms
1.1.1.145,SJC,北美洲,圣何塞,182 ms
1.0.0.14,SJC,北美洲,圣何塞,183 ms
1.1.1.21,SJC,北美洲,圣何塞,183 ms
104.21.208.131,AMS,欧洲,阿姆斯特丹,183 ms
104.17.104.31,SJC,北美洲,圣何塞,183 ms
104.19.140.228,LAX,北美洲,洛杉矶,183 ms
104.19.138.215,SLC,北美洲,盐湖城,183 ms
1.0.0.208,SJC,北美洲,圣何塞,183 ms
104.17.129.35,SJC,北美洲,圣何塞,183 ms
1.0.0.153,SJC,北美洲,圣何塞,183 ms
104.17.114.185,SJC,北美洲,圣何塞,183 ms
104.16.120.233,LAX,北美洲,洛杉矶,183 ms
1.1.1.32,SJC,北美洲,圣何塞,184 ms
104.16.27.81,SJC,北美洲,圣何塞,184 ms
104.19.36.82,SJC,北美洲,圣何塞,184 ms
104.18.213.211,SJC,北美洲,圣何塞,184 ms
1.1.1.234,SJC,北美洲,圣何塞,184 ms
104.17.2.220,SJC,北美洲,圣何塞,184 ms
104.19.206.90,SJC,北美洲,圣何塞,185 ms
104.17.81.155,SJC,北美洲,圣何塞,185 ms
104.18.33.238,SJC,北美洲,圣何塞,185 ms
1.0.0.224,SJC,北美洲,圣何塞,185 ms
104.17.206.10,SJC,北美洲,圣何塞,185 ms
104.17.212.54,SJC,北美洲,圣何塞,185 ms
1.1.1.82,SJC,北美洲,圣何塞,185 ms
1.0.0.90,SJC,北美洲,圣何塞,185 ms
1.0.0.112,SJC,北美洲,圣何塞,185 ms
1.1.1.47,SJC,北美洲,圣何塞,186 ms
1.1.1.223,SJC,北美洲,圣何塞,186 ms
104.16.13.66,SJC,北美洲,圣何塞,186 ms
104.21.231.153,LAX,北美洲,洛杉矶,186 ms
104.17.9.83,SJC,北美洲,圣何塞,186 ms
104.21.88.216,AMS,欧洲,阿姆斯特丹,186 ms
104.16.89.183,SJC,北美洲,圣何塞,186 ms
1.0.0.150,SJC,北美洲,圣何塞,186 ms
104.19.252.161,SJC,北美洲,圣何塞,186 ms
1.0.0.193,SJC,北美洲,圣何塞,186 ms
104.16.17.223,SJC,北美洲,圣何塞,186 ms
104.16.178.42,SJC,北美洲,圣何塞,186 ms
104.19.150.115,SJC,北美洲,圣何塞,186 ms
104.16.141.35,SJC,北美洲,圣何塞,187 ms
1.0.0.0,SJC,北美洲,圣何塞,187 ms
1.1.1.171,SJC,北美洲,圣何塞,187 ms
104.18.18.89,SJC,北美洲,圣何塞,187 ms
1.1.1.226,SJC,北美洲,圣何塞,187 ms
104.21.37.49,AMS,欧洲,阿姆斯特丹,187 ms
1.1.1.197,SJC,北美洲,圣何塞,187 ms
1.0.0.171,SJC,北美洲,圣何塞,188 ms
1.0.0.87,SJC,北美洲,圣何塞,188 ms
1.0.0.24,SJC,北美洲,圣何塞,188 ms
1.1.1.106,SJC,北美洲,圣何塞,188 ms
1.1.1.231,SJC,北美洲,圣何塞,188 ms
1.0.0.105,SJC,北美洲,圣何塞,188 ms
1.0.0.199,SJC,北美洲,圣何塞,188 ms
104.19.241.62,LAX,北美洲,洛杉矶,189 ms
1.0.0.109,SJC,北美洲,圣何塞,189 ms
104.19.253.221,LAX,北美洲,洛杉矶,189 ms
45.131.4.135,SJC,北美洲,圣何塞,189 ms
104.19.16.84,SJC,北美洲,圣何塞,189 ms
1.1.1.11,SJC,北美洲,圣何塞,189 ms
1.0.0.75,SJC,北美洲,圣何塞,189 ms
104.16.3.188,SJC,北美洲,圣何塞,189 ms
104.19.221.149,SJC,北美洲,圣何塞,189 ms
104.18.118.244,SJC,北美洲,圣何塞,189 ms
104.19.219.198,SJC,北美洲,圣何塞,190 ms
104.16.23.106,SJC,北美洲,圣何塞,190 ms
104.19.171.54,SJC,北美洲,圣何塞,190 ms
1.0.0.246,SJC,北美洲,圣何塞,190 ms
104.17.194.36,SJC,北美洲,圣何塞,190 ms
104.20.48.67,IAD,北美洲,阿什本,191 ms
104.21.121.241,AMS,欧洲,阿姆斯特丹,191 ms
1.0.0.52,SJC,北美洲,圣何塞,191 ms
104.19.117.92,SJC,北美洲,圣何塞,191 ms
104.21.45.96,AMS,欧洲,阿姆斯特丹,191 ms
104.16.46.72,SJC,北美洲,圣何塞,192 ms
1.1.1.177,SJC,北美洲,圣何塞,192 ms
104.21.27.220,AMS,欧洲,阿姆斯特丹,192 ms
104.19.5.146,SJC,北美洲,圣何塞,192 ms
104.16.11.252,SJC,北美洲,圣何塞,192 ms
104.21.120.138,AMS,欧洲,阿姆斯特丹,192 ms
104.17.179.116,SJC,北美洲,圣何塞,192 ms
1.0.0.232,SJC,北美洲,圣何塞,193 ms
104.21.206.224,AMS,欧洲,阿姆斯特丹,193 ms
1.0.0.154,SJC,北美洲,圣何塞,193 ms
104.18.8.108,SJC,北美洲,圣何塞,193 ms
104.19.4.120,SJC,北美洲,圣何塞,193 ms
104.24.197.128,IAD,北美洲,阿什本,193 ms
104.18.203.142,SJC,北美洲,圣何塞,193 ms
104.17.37.159,SJC,北美洲,圣何塞,194 ms
1.1.1.87,SJC,北美洲,圣何塞,194 ms
104.21.39.95,AMS,欧洲,阿姆斯特丹,194 ms
1.1.1.75,SJC,北美洲,圣何塞,194 ms
1.1.1.73,SJC,北美洲,圣何塞,194 ms
104.25.76.63,IAD,北美洲,阿什本,194 ms
104.21.89.241,AMS,欧洲,阿姆斯特丹,194 ms
1.1.1.38,SJC,北美洲,圣何塞,194 ms
1.1.1.174,SJC,北美洲,圣何塞,194 ms
1.0.0.116,SJC,北美洲,圣何塞,195 ms
104.18.243.168,SJC,北美洲,圣何塞,195 ms
104.18.166.173,SJC,北美洲,圣何塞,195 ms
104.17.20.116,SJC,北美洲,圣何塞,195 ms
1.0.0.186,SJC,北美洲,圣何塞,195 ms
104.19.137.66,SLC,北美洲,盐湖城,195 ms
104.21.78.114,AMS,欧洲,阿姆斯特丹,195 ms
104.17.153.64,SJC,北美洲,圣何塞,195 ms
104.20.28.221,IAD,北美洲,阿什本,195 ms
104.18.237.101,SJC,北美洲,圣何塞,196 ms
104.22.16.74,IAD,北美洲,阿什本,196 ms
104.22.49.202,IAD,北美洲,阿什本,196 ms
104.22.50.183,IAD,北美洲,阿什本,196 ms
104.21.46.82,AMS,欧洲,阿姆斯特丹,196 ms
104.18.81.147,SJC,北美洲,圣何塞,196 ms
104.21.42.85,AMS,欧洲,阿姆斯特丹,196 ms
104.24.143.138,IAD,北美洲,阿什本,196 ms
1.1.1.191,SJC,北美洲,圣何塞,197 ms
104.16.143.214,SJC,北美洲,圣何塞,197 ms
104.24.139.151,IAD,北美洲,阿什本,197 ms
104.16.162.14,SJC,北美洲,圣何塞,197 ms
1.0.0.23,SJC,北美洲,圣何塞,197 ms
104.19.238.20,SJC,北美洲,圣何塞,197 ms
104.24.192.37,IAD,北美洲,阿什本,197 ms
104.24.63.67,IAD,北美洲,阿什本,198 ms
104.16.124.229,SLC,北美洲,盐湖城,198 ms
1.0.0.46,SJC,北美洲,圣何塞,198 ms
104.18.197.61,SJC,北美洲,圣何塞,198 ms
104.21.25.39,AMS,欧洲,阿姆斯特丹,198 ms
104.21.38.84,AMS,欧洲,阿姆斯特丹,198 ms
1.0.0.71,SJC,北美洲,圣何塞,198 ms
104.25.114.102,IAD,北美洲,阿什本,198 ms
1.0.0.192,SJC,北美洲,圣何塞,198 ms
104.25.118.75,IAD,北美洲,阿什本,198 ms
104.21.83.36,AMS,欧洲,阿姆斯特丹,198 ms
104.18.71.170,SJC,北美洲,圣何塞,198 ms
104.21.90.87,AMS,欧洲,阿姆斯特丹,198 ms
1.0.0.111,SJC,北美洲,圣何塞,198 ms
1.1.1.129,SJC,北美洲,圣何塞,198 ms
104.17.56.57,SJC,北美洲,圣何塞,199 ms
104.19.203.159,SJC,北美洲,圣何塞,199 ms
1.0.0.56,SJC,北美洲,圣何塞,199 ms
104.23.140.156,IAD,北美洲,阿什本,199 ms
104.21.216.200,AMS,欧洲,阿姆斯特丹,199 ms
104.16.86.110,SJC,北美洲,圣何塞,199 ms
104.21.36.124,AMS,欧洲,阿姆斯特丹,199 ms
104.20.141.31,IAD,北美洲,阿什本,199 ms
104.24.28.119,IAD,北美洲,阿什本,199 ms
104.26.7.85,IAD,北美洲,阿什本,199 ms
104.16.114.227,SJC,北美洲,圣何塞,199 ms
104.21.86.157,AMS,欧洲,阿姆斯特丹,199 ms
104.22.78.77,IAD,北美洲,阿什本,200 ms
104.18.235.84,SJC,北美洲,圣何塞,200 ms
104.21.65.171,AMS,欧洲,阿姆斯特丹,200 ms
104.21.76.137,AMS,欧洲,阿姆斯特丹,200 ms
104.21.75.102,AMS,欧洲,阿姆斯特丹,200 ms
104.24.225.11,IAD,北美洲,阿什本,200 ms
104.22.77.163,IAD,北美洲,阿什本,200 ms
104.25.103.223,IAD,北美洲,阿什本,200 ms
1.1.1.230,SJC,北美洲,圣何塞,200 ms
104.21.49.101,AMS,欧洲,阿姆斯特丹,200 ms
104.24.146.234,IAD,北美洲,阿什本,200 ms
104.16.161.152,SJC,北美洲,圣何塞,200 ms
104.16.109.240,SJC,北美洲,圣何塞,200 ms
104.21.24.133,AMS,欧洲,阿姆斯特丹,201 ms
104.16.233.32,SJC,北美洲,圣何塞,201 ms
104.17.239.56,SJC,北美洲,圣何塞,201 ms
104.24.33.224,IAD,北美洲,阿什本,201 ms
1.1.1.170,SJC,北美洲,圣何塞,201 ms
104.21.221.144,AMS,欧洲,阿姆斯特丹,201 ms
104.21.222.18,AMS,欧洲,阿姆斯特丹,201 ms
104.24.186.237,IAD,北美洲,阿什本,201 ms
104.25.116.196,IAD,北美洲,阿什本,201 ms
1.0.0.245,SJC,北美洲,圣何塞,201 ms
104.21.220.206,AMS,欧洲,阿姆斯特丹,201 ms
104.24.137.19,IAD,北美洲,阿什本,201 ms
104.24.56.8,IAD,北美洲,阿什本,201 ms
104.16.217.45,SJC,北美洲,圣何塞,202 ms
104.24.151.41,IAD,北美洲,阿什本,202 ms
104.24.11.63,IAD,北美洲,阿什本,202 ms
104.18.38.235,SJC,北美洲,圣何塞,202 ms
104.22.55.213,IAD,北美洲,阿什本,202 ms
104.20.40.83,IAD,北美洲,阿什本,202 ms
